isotype,allele,ALL,start_s,stop_s,plotpoint_hi,swept_haplotype,CHROM,peakPOS,facet_marker,genotype,Genotypes
BRC20067,-1,REF,2184029,3280545,43,TRUE,II,2622125,II:2622125,swept,swept
CB4854,-1,REF,3224332,3239484,38,FALSE,II,2622125,II:2622125,swept,swept
CB4854,-1,REF,2184029,2682504,38,TRUE,II,2622125,II:2622125,swept,swept
CB4854,-1,REF,2682504,3224332,38,FALSE,II,2622125,II:2622125,swept,swept
CX11254,1,ALT,2184029,2232319,4,FALSE,II,2622125,II:2622125,swept,swept
CX11254,1,ALT,2232319,3280545,4,FALSE,II,2622125,II:2622125,swept,swept
CX11262,1,ALT,2184029,2232319,7,FALSE,II,2622125,II:2622125,swept,swept
CX11262,1,ALT,2232319,3280545,7,FALSE,II,2622125,II:2622125,swept,swept
CX11264,1,ALT,2184029,2232319,5,FALSE,II,2622125,II:2622125,swept,swept
CX11264,1,ALT,2232319,3280545,5,FALSE,II,2622125,II:2622125,swept,swept
CX11292,-1,REF,2475449,2476300,44,FALSE,II,2622125,II:2622125,swept,swept
CX11292,-1,REF,2476300,2476693,44,TRUE,II,2622125,II:2622125,swept,swept
CX11292,-1,REF,2681440,2682504,44,TRUE,II,2622125,II:2622125,swept,swept
CX11292,-1,REF,2476693,2681440,44,FALSE,II,2622125,II:2622125,swept,swept
CX11292,-1,REF,2184029,2475449,44,TRUE,II,2622125,II:2622125,swept,swept
CX11292,-1,REF,2682504,3215725,44,FALSE,II,2622125,II:2622125,swept,swept
DL226,-1,REF,2624924,2625196,51,FALSE,II,2622125,II:2622125,swept,swept
DL226,-1,REF,2889815,2891528,51,FALSE,II,2622125,II:2622125,swept,swept
DL226,-1,REF,2891528,2891945,51,FALSE,II,2622125,II:2622125,swept,swept
DL226,-1,REF,3067760,3073755,51,FALSE,II,2622125,II:2622125,swept,swept
DL226,-1,REF,2184029,2245782,51,FALSE,II,2622125,II:2622125,swept,swept
DL226,-1,REF,2485946,2538995,51,FALSE,II,2622125,II:2622125,swept,swept
DL226,-1,REF,2538995,2624924,51,FALSE,II,2622125,II:2622125,swept,swept
DL226,-1,REF,2625196,2889815,51,FALSE,II,2622125,II:2622125,swept,swept
DL226,-1,REF,2891945,3067760,51,FALSE,II,2622125,II:2622125,swept,swept
DL226,-1,REF,3073755,3224332,51,FALSE,II,2622125,II:2622125,swept,swept
ECA348,-1,REF,2480430,2482006,56,FALSE,II,2622125,II:2622125,swept,swept
ECA348,-1,REF,2482006,2482702,56,FALSE,II,2622125,II:2622125,swept,swept
ECA348,-1,REF,2624924,2625196,56,FALSE,II,2622125,II:2622125,swept,swept
ECA348,-1,REF,2877591,2883291,56,FALSE,II,2622125,II:2622125,swept,swept
ECA348,-1,REF,2463942,2480430,56,FALSE,II,2622125,II:2622125,swept,swept
ECA348,-1,REF,3189468,3208671,56,FALSE,II,2622125,II:2622125,swept,swept
ECA348,-1,REF,2184029,2262719,56,FALSE,II,2622125,II:2622125,swept,swept
ECA348,-1,REF,2482702,2538995,56,FALSE,II,2622125,II:2622125,swept,swept
ECA348,-1,REF,2538995,2624924,56,FALSE,II,2622125,II:2622125,swept,swept
ECA348,-1,REF,2625196,2877591,56,FALSE,II,2622125,II:2622125,swept,swept
ECA348,-1,REF,2883291,2884884,56,FALSE,II,2622125,II:2622125,swept,swept
ECA348,-1,REF,3263517,3280545,56,FALSE,II,2622125,II:2622125,swept,swept
ECA348,-1,REF,2884884,3189468,56,FALSE,II,2622125,II:2622125,swept,swept
ECA592,1,ALT,3245302,3260341,10,FALSE,II,2622125,II:2622125,swept,swept
ECA592,1,ALT,2232319,2305374,10,FALSE,II,2622125,II:2622125,swept,swept
ECA592,1,ALT,2184029,2232319,10,FALSE,II,2622125,II:2622125,swept,swept
ECA592,1,ALT,3260341,3280545,10,FALSE,II,2622125,II:2622125,swept,swept
ECA592,1,ALT,2365605,3200338,10,FALSE,II,2622125,II:2622125,swept,swept
ECA594,1,ALT,2413262,2413889,13,FALSE,II,2622125,II:2622125,swept,swept
ECA594,1,ALT,2836040,2836283,13,FALSE,II,2622125,II:2622125,swept,swept
ECA594,1,ALT,2413889,2428233,13,FALSE,II,2622125,II:2622125,swept,swept
ECA594,1,ALT,2319692,2413262,13,FALSE,II,2622125,II:2622125,swept,swept
ECA594,1,ALT,2428233,2836040,13,FALSE,II,2622125,II:2622125,swept,swept
ECA594,1,ALT,2836283,2925703,13,FALSE,II,2622125,II:2622125,swept,swept
ECA594,1,ALT,2925703,3168750,13,FALSE,II,2622125,II:2622125,swept,swept
ECA923,-1,REF,2482006,2482702,52,FALSE,II,2622125,II:2622125,swept,swept
ECA923,-1,REF,2624924,2625196,52,FALSE,II,2622125,II:2622125,swept,swept
ECA923,-1,REF,2889815,2891528,52,FALSE,II,2622125,II:2622125,swept,swept
ECA923,-1,REF,2891528,2891945,52,TRUE,II,2622125,II:2622125,swept,swept
ECA923,-1,REF,2482702,2538995,52,FALSE,II,2622125,II:2622125,swept,swept
ECA923,-1,REF,2538995,2624924,52,FALSE,II,2622125,II:2622125,swept,swept
ECA923,-1,REF,2625196,2889815,52,FALSE,II,2622125,II:2622125,swept,swept
ECA923,-1,REF,2891945,3038167,52,FALSE,II,2622125,II:2622125,swept,swept
ECA923,-1,REF,3038167,3176290,52,FALSE,II,2622125,II:2622125,swept,swept
ECA928,-1,REF,2480430,2482006,53,FALSE,II,2622125,II:2622125,swept,swept
ECA928,-1,REF,2482006,2482702,53,FALSE,II,2622125,II:2622125,swept,swept
ECA928,-1,REF,2624924,2625196,53,FALSE,II,2622125,II:2622125,swept,swept
ECA928,-1,REF,2889815,2891528,53,FALSE,II,2622125,II:2622125,swept,swept
ECA928,-1,REF,2891528,2891945,53,FALSE,II,2622125,II:2622125,swept,swept
ECA928,-1,REF,2300750,2313394,53,FALSE,II,2622125,II:2622125,swept,swept
ECA928,-1,REF,2380138,2462536,53,FALSE,II,2622125,II:2622125,swept,swept
ECA928,-1,REF,3240443,3259967,53,FALSE,II,2622125,II:2622125,swept,swept
ECA928,-1,REF,2313394,2380138,53,FALSE,II,2622125,II:2622125,swept,swept
ECA928,-1,REF,2482702,2538995,53,FALSE,II,2622125,II:2622125,swept,swept
ECA928,-1,REF,2538995,2624924,53,FALSE,II,2622125,II:2622125,swept,swept
ECA928,-1,REF,2625196,2889815,53,FALSE,II,2622125,II:2622125,swept,swept
ECA928,-1,REF,2891945,3038167,53,FALSE,II,2622125,II:2622125,swept,swept
ECA928,-1,REF,3262630,3280545,53,FALSE,II,2622125,II:2622125,swept,swept
ECA928,-1,REF,3038167,3176290,53,FALSE,II,2622125,II:2622125,swept,swept
ED3005,-1,REF,2482006,2482702,50,FALSE,II,2622125,II:2622125,swept,swept
ED3005,-1,REF,2624924,2625196,50,FALSE,II,2622125,II:2622125,swept,swept
ED3005,-1,REF,2889815,2891528,50,FALSE,II,2622125,II:2622125,swept,swept
ED3005,-1,REF,2891528,2891945,50,FALSE,II,2622125,II:2622125,swept,swept
ED3005,-1,REF,3199945,3200761,50,FALSE,II,2622125,II:2622125,swept,swept
ED3005,-1,REF,3200761,3205505,50,FALSE,II,2622125,II:2622125,swept,swept
ED3005,-1,REF,2437668,2482006,50,FALSE,II,2622125,II:2622125,swept,swept
ED3005,-1,REF,3205505,3215725,50,FALSE,II,2622125,II:2622125,swept,swept
