pheno,marker,genotype
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,QX-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,CB-RIAILs
NA,II:3646789,QX-RIAILs
