isotype,start,stop,plotpoint_hi,swept_haplotype,chromosome
AB1,947,63912,141,FALSE,I
AB1,63912,1034963,141,FALSE,I
AB1,1034963,1034986,141,FALSE,I
AB1,1034986,1042946,141,FALSE,I
AB1,1042946,1045880,141,TRUE,I
AB1,1045880,1102311,141,FALSE,I
AB1,1102311,1104862,141,FALSE,I
AB1,1104862,2162656,141,FALSE,I
AB1,2162656,2164727,141,TRUE,I
AB1,2164727,2475697,141,FALSE,I
AB1,2475697,2475845,141,TRUE,I
AB1,2475845,2489931,141,FALSE,I
AB1,2489931,2492612,141,TRUE,I
AB1,2492612,2577123,141,FALSE,I
AB1,2578124,13000712,141,TRUE,I
AB1,13000712,13053804,141,FALSE,I
AB1,13142839,13986156,141,FALSE,I
AB1,13986156,13987371,141,TRUE,I
AB1,13987371,15068407,141,FALSE,I
BRC20067,947,668361,213,FALSE,I
BRC20067,668361,747866,213,TRUE,I
BRC20067,747866,1424888,213,FALSE,I
BRC20067,1424888,1486488,213,FALSE,I
BRC20067,1486488,1512511,213,TRUE,I
BRC20067,1512511,1517556,213,FALSE,I
BRC20067,1517556,1541531,213,TRUE,I
BRC20067,1541531,1548688,213,FALSE,I
BRC20067,1548688,1616806,213,TRUE,I
BRC20067,1616806,1773752,213,FALSE,I
BRC20067,1773752,1983021,213,FALSE,I
BRC20067,1983021,2010363,213,TRUE,I
BRC20067,2010363,2759935,213,FALSE,I
BRC20067,2759935,2817792,213,TRUE,I
BRC20067,2817792,2827044,213,FALSE,I
BRC20067,2827044,2828918,213,FALSE,I
BRC20067,2828918,2871012,213,FALSE,I
BRC20067,2871012,2873214,213,FALSE,I
BRC20067,2873214,2940170,213,FALSE,I
BRC20067,2940170,2940929,213,FALSE,I
BRC20067,2940929,3031258,213,FALSE,I
BRC20067,3031258,3452803,213,FALSE,I
BRC20067,3452803,3492372,213,TRUE,I
BRC20067,3492372,3598886,213,FALSE,I
BRC20067,3598886,3627313,213,TRUE,I
BRC20067,3627313,3695697,213,FALSE,I
BRC20067,3695697,3748538,213,TRUE,I
BRC20067,3748538,4328866,213,FALSE,I
BRC20067,4328866,4458715,213,TRUE,I
BRC20067,4458715,4911728,213,FALSE,I
BRC20067,4911728,4976642,213,TRUE,I
BRC20067,4976642,5851839,213,FALSE,I
BRC20067,5851839,5857622,213,TRUE,I
BRC20067,5857622,6026683,213,FALSE,I
BRC20067,6026683,6076800,213,TRUE,I
BRC20067,6076800,6794612,213,FALSE,I
BRC20067,6794612,6935083,213,FALSE,I
BRC20067,6935083,7051313,213,TRUE,I
BRC20067,7051313,8015329,213,FALSE,I
BRC20067,8015329,8040475,213,TRUE,I
BRC20067,8040475,8583247,213,FALSE,I
BRC20067,8583247,8669606,213,TRUE,I
BRC20067,8669606,8782530,213,FALSE,I
BRC20067,8782530,8821023,213,TRUE,I
BRC20067,8821023,8847062,213,FALSE,I
BRC20067,8847062,8877796,213,FALSE,I
BRC20067,8877796,9199049,213,FALSE,I
BRC20067,9199049,9719306,213,TRUE,I
BRC20067,9719306,11115132,213,FALSE,I
BRC20067,11115132,11268341,213,FALSE,I
BRC20067,11268341,11271193,213,FALSE,I
BRC20067,11271193,11271410,213,TRUE,I
BRC20067,11271410,11517364,213,FALSE,I
BRC20067,11517364,11519254,213,TRUE,I
BRC20067,11519254,11694855,213,FALSE,I
BRC20067,11694855,11694897,213,TRUE,I
BRC20067,11694897,12049424,213,FALSE,I
BRC20067,12049424,12054262,213,TRUE,I
BRC20067,12054262,12205517,213,FALSE,I
BRC20067,12205517,12205869,213,TRUE,I
BRC20067,12205869,12207137,213,FALSE,I
BRC20067,12207137,12209209,213,TRUE,I
BRC20067,12209209,12301560,213,FALSE,I
BRC20067,12301560,12301652,213,TRUE,I
